capture_ts,slot,auditor_id,drop_point_id,platform,account_state,subscription_active,restaurant_name,restaurant_listed,restaurant_open,basket_id,item_list,item_match_quality,menu_subtotal,packaging_fee,platform_fee,delivery_fee,small_cart_fee,surge_rain_fee,taxes_gst,discount_amount,discount_type,final_payable,eta_min_shown,eta_max_shown,screenshot_file,notes,restaurant_display,eta_mid,fees_total,non_food_total,non_food_share,priced,is_listed,is_open,recon_delta,recon_flag
19:45:00,wed_dinner,A,dp1,ownly,new,,paradise biryani,y,y,B1,Special Veg Dum Biryani (serves 1-2),exact,299.0,0.0,0.0,0.0,0.0,0.0,14.95,50.0,auto offer,263.95,44.0,49.0,DP1_wed_dinner_ownly_R1.png,groupa,Paradise Biryani,46.5,0.0,14.95,0.056639515059670395,True,True,True,0.0,
19:45:00,wed_dinner,A,dp1,ownly,new,,paradise biryani,y,y,B1,Special Veg Dum Biryani (serves 1-2),exact,299.0,0.0,0.0,0.0,0.0,0.0,14.95,0.0,none,313.95,44.0,49.0,DP1_wed_dinner_ownly_R1.png,groupa,Paradise Biryani,46.5,0.0,14.95,0.047619047619047616,True,True,True,0.0,
19:45:00,wed_dinner,A,dp1,swiggy,existing,y,paradise biryani,y,y,B1,Special Veg Dum Biryani (serves 1-2),exact,375.0,0.0,0.0,0.0,0.0,0.0,54.76,242.0,auto offer,187.76,20.0,25.0,DP1_wed_dinner_swiggy_R1.png,groupa,Paradise Biryani,22.5,0.0,54.76,0.29164891350660416,True,True,True,0.0,
19:45:00,wed_dinner,A,dp1,swiggy,existing,y,paradise biryani,y,y,B1,Special Veg Dum Biryani (serves 1-2),exact,375.0,0.0,0.0,42.0,0.0,0.0,54.76,0.0,none,471.76,20.0,25.0,DP1_wed_dinner_swiggy_R1.png,groupa,Paradise Biryani,22.5,42.0,96.75999999999999,0.2051042903171104,True,True,True,0.0,
19:45:00,wed_dinner,A,dp1,zomato,existing,y,paradise biryani,y,y,B1,Special Veg Dum Biryani (serves 1-2),exact,375.0,28.88,14.99,0.0,0.0,0.0,22.89,0.0,none,441.76,25.0,30.0,DP1_wed_dinner_zomato_R1.png,groupa,Paradise Biryani,27.5,43.87,66.75999999999999,0.15112278160086923,True,True,True,0.0,
19:45:00,wed_dinner,A,dp1,zomato,existing,y,paradise biryani,y,y,B1,Special Veg Dum Biryani (serves 1-2),exact,375.0,28.88,14.99,43.0,0.0,0.0,22.89,0.0,none,484.76,25.0,30.0,DP1_wed_dinner_zomato_R1.png,groupa,Paradise Biryani,27.5,86.87,109.76,0.22642132189124517,True,True,True,0.0,
22:00:00,wed_dinner,A,dp1,ownly,new,,bawarchi,y,y,B1,Veg Biryani ,exact,196.0,0.0,0.0,0.0,0.0,0.0,9.8,50.0,auto offer,155.8,36.0,41.0,DP1_wed_dinner_ownly_R2.png,groupa,Bawarchi,38.5,0.0,9.8,0.06290115532734275,True,True,True,0.0,
22:00:00,wed_dinner,A,dp1,ownly,new,,bawarchi,y,y,B1,Veg Biryani ,exact,196.0,0.0,0.0,0.0,0.0,0.0,9.8,0.0,none,205.8,36.0,41.0,DP1_wed_dinner_ownly_R2.png,groupa,Bawarchi,38.5,0.0,9.8,0.047619047619047616,True,True,True,0.0,
22:00:00,wed_dinner,A,dp1,swiggy,existing,y,bawarchi,y,y,B1,Veg Biryani ,exact,179.0,0.0,0.0,0.0,0.0,0.0,22.57,156.35,auto offer coupon,45.0,20.0,25.0,DP1_wed_dinner_swiggy_R2.png,groupa,Bawarchi,22.5,0.0,22.57,0.5015555555555555,True,True,True,0.22,
22:00:00,wed_dinner,A,dp1,swiggy,existing,y,bawarchi,y,y,B1,Veg Biryani ,exact,179.0,0.0,0.0,48.0,0.0,0.0,22.57,0.0,none,249.35,20.0,25.0,DP1_wed_dinner_swiggy_R2.png,groupa,Bawarchi,22.5,48.0,70.57,0.2830158411870864,True,True,True,0.22,
