review_id,platform_source,app_id,app_context,app_version,review_date,star_rating,review_text,thumbs_up_count,developer_reply_present,source_url,retrieved_at,language,city_mentioned,sentiment,themes,primary_theme,severity,order_stage,switching_trigger_flag,switching_trigger_text,churn_signal,repeat_use_signal,price_value_comment,delivery_eta_comment,assortment_comment,support_comment,trust_safety_quality_comment,coding_note,coder,human_verified
GO_ebd88deedd,google_play,com.ownly.customer,ownly_standalone,2.0.1,2026-09-11,5,nice,0,1,https://play.google.com/store/apps/details?id=com.ownly.customer&hl=kn&gl=IN,2026-09-14,en,none,pos,APP_UX_GENERAL_POSITIVE,APP_UX_GENERAL_POSITIVE,,unspecified,0,,0,0,,,,,,,ai_first_pass,
GO_cb084c8b76,google_play,com.ownly.customer,ownly_standalone,2.0.0,2026-09-04,1,"Worst delivery experience ever – Zero customer support and absolute scam! I placed an order and waited for over 40 minutes, only for the delivery agent to tell me he went home and couldn't deliver or cancel the order. To make matters worse, the in-app customer support is completely dead. It keeps showing ""connecting to an agent"" for nearly an hour without any response while leaving paying customers stranded and starving. They take your money, fail to deliver the food, and block you from getting",2,1,https://play.google.com/store/apps/details?id=com.ownly.customer&hl=en_IN&gl=IN,2026-09-14,en,none,neg,NOT_DELIVERED_OR_FALSE_DELIVERED;RIDER_CONDUCT_OR_UNREACHABLE;CANCELLATION_BLOCKED;SUPPORT_UNRESPONSIVE_OR_SCRIPTED;LATE_DELIVERY_ETA_BREACH;TRUST_LOSS_SCAM_FRAMING,NOT_DELIVERED_OR_FALSE_DELIVERED,3,delivery_handoff,0,,0,0,,"waited 40+ min; rider said he went home, could not deliver or cancel",,in-app chat stuck on 'connecting to an agent' ~1 hour,calls service a scam,,ai_first_pass,
GO_1a4fd276c8,google_play,com.ownly.customer,ownly_standalone,2.0.0,2026-09-03,1,"One of the worst food delivery apps I have ever used. The customer support team is extremely irresponsible. I placed an order and selected my second address for delivery. Instead of delivering the food to the selected address, they cancelled the order themselves without properly informing me. To make matters worse, my online payment of ₹216 has not been refunded. I feel completely cheated and disappointed with the way they handled the situation. I strongly suggest customers think twice.",2,1,https://play.google.com/store/apps/details?id=com.ownly.customer&hl=en_IN&gl=IN,2026-09-14,en,none,neg,PLATFORM_RESTAURANT_CANCELLATION;REFUND_DELAY_OR_DENIAL;SUPPORT_UNRESPONSIVE_OR_SCRIPTED;TRUST_LOSS_SCAM_FRAMING,PLATFORM_RESTAURANT_CANCELLATION,3,dispatch_eta,0,,0,0,,,,platform cancelled without informing; ₹216 online payment not refunded at time of review,feels cheated,"severity 3 not 4: refund described as pending, not denied",ai_first_pass,
GO_3f79b53b51,google_play,com.ownly.customer,ownly_standalone,2.0.0,2026-08-31,1,"Absolutely pathetic service. I ordered food at 1:45 AM and waited over an hour with no delivery. The delivery partner is not responding to calls and was actually moving away from the delivery location. Customer support was completely useless—no response, no resolution, and no accountability. Extremely frustrating and unacceptable. One of the worst food delivery experiences I’ve had. Would not recommend this app.",4,1,https://play.google.com/store/apps/details?id=com.ownly.customer&hl=en_IN&gl=IN,2026-09-14,en,none,neg,LATE_DELIVERY_ETA_BREACH;RIDER_CONDUCT_OR_UNREACHABLE;SUPPORT_UNRESPONSIVE_OR_SCRIPTED,LATE_DELIVERY_ETA_BREACH,3,dispatch_eta,0,,0,0,,"late-night (1:45 AM) order; 1+ hour, rider unresponsive and moving away",,no response or resolution,,AMBIGUOUS primary: LATE vs NOT_DELIVERED (final outcome not stated),ai_first_pass,
GO_38f94a509d,google_play,com.ownly.customer,ownly_standalone,2.0.0,2026-08-30,4,"Really enjoying Ownly! The app is simple, convenient, and easy to use. 👍😁 One small issue I’d request the developers to fix: when I change my name and phone number on the checkout page before placing an order, the updated details don’t seem to sync with the actual order. The restaurant still receives/prints my original name and phone number instead of the details I entered at checkout. It would be great if the checkout details could be properly synced with the order sent to the restaurant.",4,1,https://play.google.com/store/apps/details?id=com.ownly.customer&hl=en_IN&gl=IN,2026-09-14,en,none,mixed,APP_UX_GENERAL_POSITIVE;APP_CHECKOUT_BUG,APP_CHECKOUT_BUG,2,pricing_checkout,0,,0,1,,,,,,repeat=1 inferred from 'really enjoying' (implied ongoing use),ai_first_pass,
GO_a98eb27a20,google_play,com.ownly.customer,ownly_standalone,2.0.0,2026-08-30,1,"I had ordered food on it twice and both the times, I faced a lot of issues. one time, there were missing items in the parcel and second time, when I ordered food on it, the app showed me delivered but neither I received a call from the delivery agent nor the order was delivered. I contacted the Ownly team but nobody helped at all. They kept on changing agents but nobody helped with the order. ultimately they usurped Rs 347/- of mine. This is sheer loot. I don't recommend this app.Save yourself",5,1,https://play.google.com/store/apps/details?id=com.ownly.customer&hl=en_IN&gl=IN,2026-09-14,en,none,neg,MISSING_OR_WRONG_ITEMS;NOT_DELIVERED_OR_FALSE_DELIVERED;SUPPORT_UNRESPONSIVE_OR_SCRIPTED;REFUND_DELAY_OR_DENIAL;TRUST_LOSS_SCAM_FRAMING,NOT_DELIVERED_OR_FALSE_DELIVERED,4,delivery_handoff,0,,0,1,,order marked delivered but never received,,"support changed agents repeatedly, no help; ₹347 described as lost",calls it 'loot',"two orders, both failed",ai_first_pass,
GO_1da47a1e4b,google_play,com.ownly.customer,ownly_standalone,1.9.14,2026-08-26,1,"When I ordered, the order was showing 25 minutes from the past 20 minutes. After calling the resturant they told me that the offer was paused by the app. The customer support immediately closed without any proper resolution. Extremely disappointed as the order was cancelled and the app told me refund was initiated and haven't received the refund.",6,1,https://play.google.com/store/apps/details?id=com.ownly.customer&hl=en_IN&gl=IN,2026-09-14,en,none,neg,LATE_DELIVERY_ETA_BREACH;LISTING_MENU_ACCURACY;PLATFORM_RESTAURANT_CANCELLATION;REFUND_DELAY_OR_DENIAL;SUPPORT_UNRESPONSIVE_OR_SCRIPTED,PLATFORM_RESTAURANT_CANCELLATION,3,dispatch_eta,0,,0,0,restaurant said the offer was paused by the app,ETA frozen at 25 min for 20 min,,support closed chat without resolution; refund initiated but not received,,,ai_first_pass,
GO_ef0cf51810,google_play,com.ownly.customer,ownly_standalone,1.9.14,2026-08-25,1,"initially I was very happy but the app has a lot of bugs especially payment related. everytime I pay using card, the payment deducts but food does not get ordered. it says refund initiated. this is really inconvenient. but everything i watch YouTube, i see their ad which is really good. then I think I wish their app as good as their marketing.",2,1,https://play.google.com/store/apps/details?id=com.ownly.customer&hl=en_IN&gl=IN,2026-09-14,en,none,neg,PAYMENT_DEDUCTED_ORDER_FAILED;EARLY_GOOD_THEN_DECLINE;MARKETING_EXPECTATION_GAP,PAYMENT_DEDUCTED_ORDER_FAILED,3,payment,0,,0,1,,,,"card payment deducted, order not placed, 'refund initiated' each time",,"acquisition cue: sees YouTube ads, says ads better than app",ai_first_pass,
GO_46c3a579b3,google_play,com.ownly.customer,ownly_standalone,1.9.14,2026-08-24,3,"Overall, the prices and delivery service are good, but missing items have become a frequent issue. Quite a few times when I order two items, only one gets delivered, which is very disappointing. The customer support team definitely needs to be more responsive and helpful in resolving these issues.""",4,1,https://play.google.com/store/apps/details?id=com.ownly.customer&hl=en_IN&gl=IN,2026-09-14,en,none,mixed,LOWER_PRICE_VALUE_POSITIVE;MISSING_OR_WRONG_ITEMS;SUPPORT_UNRESPONSIVE_OR_SCRIPTED,MISSING_OR_WRONG_ITEMS,3,food_quality_accuracy,0,,0,1,prices and delivery service described as good,delivery service described as good,,support needs to be more responsive,,frequent missing items across multiple orders,ai_first_pass,
GO_b68eea83bc,google_play,com.rapido.passenger,rapido_main_app_food_mention,8.120.0,2026-08-23,1,"ver bad experience with Ownly by Rapido. The app showed offers, so I placed an order and paid. The order wasn't accepted, and this happened three times, with my payment getting deducted each time. There is no proper per customer support-only an automated reply saying the refund will take 4-7 days. It's unacceptable to make customers wait that long for their own money because of an issue on your end. Don't promote offers if you can't process orders properly. Extremely frustrating experience.",5,0,https://play.google.com/store/apps/details?id=com.rapido.passenger&hl=en_IN&gl=IN,2026-09-14,en,none,neg,PAYMENT_DEDUCTED_ORDER_FAILED;PLATFORM_RESTAURANT_CANCELLATION;REFUND_DELAY_OR_DENIAL;SUPPORT_UNRESPONSIVE_OR_SCRIPTED;MARKETING_EXPECTATION_GAP,PAYMENT_DEDUCTED_ORDER_FAILED,3,payment,0,,0,0,offers shown in app prompted the order,,,only automated reply; refund 4-7 days,,"Rapido main app review about Ownly; three failed attempts (attempts, not completed orders -> repeat=0)",ai_first_pass,
