video_id,video_title,published_video,phase,comment_id,author,published,likes,text,themes,n_themes,first_hand_claim,mentions_ownly,evidence_type
h6PJ_QB4CiQ,"Can Rapido's ""Ownly"" beat Zomato-Swiggy?",2026-03-28,post-launch,UgzVUbFL36RtDL4e2-N4AaABAg,@VaibhavShewale,5 months ago,91,To order something now I just order by directly calling the shop and they have their own delivery person 😅😅,DISINTERMEDIATION,1,0,0,CONSUMER-GENERATED
h6PJ_QB4CiQ,"Can Rapido's ""Ownly"" beat Zomato-Swiggy?",2026-03-28,post-launch,UgxwXTUP-RS0BS0cOEp4AaABAg,@Proud_banda,5 months ago,36,"I unistalled all Food & last minute apps.
And save 3-4 K per month 😊",PRICE_ADVANTAGE,1,0,0,CONSUMER-GENERATED
h6PJ_QB4CiQ,"Can Rapido's ""Ownly"" beat Zomato-Swiggy?",2026-03-28,post-launch,Ugw4N44rwtyHuC6S3wR4AaABAg,@guruprasadah7178,5 months ago (edited),125,Correct me if I’m wrong: Ownly’s main challenge is delivery economics—riders earn more per hour from bike taxi than from Ownly food delivery.,RIDER_ECONOMICS,1,0,1,CONSUMER-GENERATED
h6PJ_QB4CiQ,"Can Rapido's ""Ownly"" beat Zomato-Swiggy?",2026-03-28,post-launch,Ugw58ol2xy1w7g-BIZx4AaABAg,@tejasvidhale8677,5 months ago,31,large market is in maharashtra and bikes taxis are banned here.,,0,0,0,CONSUMER-GENERATED
h6PJ_QB4CiQ,"Can Rapido's ""Ownly"" beat Zomato-Swiggy?",2026-03-28,post-launch,Ugz5OtZyB33xBjPbzwl4AaABAg,@HritikRaj,5 months ago,7,Swiggy and zomato both currently have 17.58 platform fee inc gst,,0,0,0,CONSUMER-GENERATED
h6PJ_QB4CiQ,"Can Rapido's ""Ownly"" beat Zomato-Swiggy?",2026-03-28,post-launch,UgwpQKlXTVGo0Fw7Lcp4AaABAg,@goan_guy01,5 months ago,1,I loved the editing of this video.,,0,0,0,CONSUMER-GENERATED
h6PJ_QB4CiQ,"Can Rapido's ""Ownly"" beat Zomato-Swiggy?",2026-03-28,post-launch,Ugzbojlt25fVdPsWo8J4AaABAg,@noclicheplease,5 months ago,50,"I stopped using Zomato recently & Swiggy long back. I use only Ownly & I pay good enough tip to the captains, a third of the extra money that I would have paid for the food on Zomato or Swiggy. Also, these captains are too humble and deny the tips. We have to ask them to provide the QR Code.",RIDER_ECONOMICS,1,1,1,CONSUMER-GENERATED
h6PJ_QB4CiQ,"Can Rapido's ""Ownly"" beat Zomato-Swiggy?",2026-03-28,post-launch,UgwV_2DE8jiV3IMxU9R4AaABAg,@quickSilverXMen,5 months ago,0,9:35 Awesome company got to know. Thanks,,0,0,0,CONSUMER-GENERATED
h6PJ_QB4CiQ,"Can Rapido's ""Ownly"" beat Zomato-Swiggy?",2026-03-28,post-launch,UgyPOUfEF9DRVYgmTbF4AaABAg,@AadiParekh-r3e,5 months ago,0,crazy content,,0,0,0,CONSUMER-GENERATED
h6PJ_QB4CiQ,"Can Rapido's ""Ownly"" beat Zomato-Swiggy?",2026-03-28,post-launch,Ugzapg8DMqwBTRUa9n94AaABAg,@hot_norr,5 months ago,1,what about TOING have you heard of it? it also does same ?,COMPETITORS,1,0,0,CONSUMER-GENERATED
